codigo,fecha,dia,precio,denominacion,max_series
1,04/01/24,Jueves,3,Lotería del Jueves,10
2,06/01/24,Sábado,20,Extraordinario del Niño,55
3,11/01/24,Jueves,3,Lotería del Jueves,10
4,13/01/24,Sábado,15,Extraordinario de Invierno,10
5,18/01/24,Jueves,3,Lotería del Jueves,10
6,21/01/24,Sábado,12,Extraordinario Enero,10
7,25/01/24,Jueves,3,Lotería del Jueves,10
8,27/01/24,Sábado,6,Lotería Nacional,10
9,01/02/24,Jueves,3,Lotería del Jueves,10
10,03/02/24,Sábado,6,Lotería Nacional,10
11,08/02/24,Jueves,3,Lotería del Jueves,10
12,10/02/24,Lunes,6,Lotería Nacional,10
13,15/02/24,Jueves,3,Lotería del Jueves,10
14,17/02/24,Sábado,15,Extraordinario de San Valentín,10
15,22/02/24,Jueves,3,Lotería del Jueves,10
16,24/02/24,Sábado,6,Lotería Nacional,10
17,29/02/24,Jueves,3,Lotería del Jueves,10
18,02/03/24,Sábado,6,Lotería Nacional,10
19,07/03/24,Jueves,3,Lotería del Jueves,10
20,09/03/24,Sábado,6,Lotería Nacional,10
21,14/03/24,Jueves,3,Lotería del Jueves,10
22,16/03/24,Sábado,6,Lotería Nacional,10
23,21/03/24,Jueves,3,Lotería del Jueves,10
24,23/03/24,Sábado,15,Extraordinario Día del Padre,10
25,28/03/24,Jueves,3,Lotería del Jueves,10
26,30/03/24,Sábado,6,Lotería Nacional,10
27,04/04/24,Jueves,3,Lotería del Jueves,10
28,06/04/24,Sábado,15,Extraordinario AECC,10
29,11/04/24,Jueves,3,Lotería del Jueves,10
30,13/04/24,Sábado,6,Lotería Nacional,10
31,18/04/24,Jueves,3,Lotería del Jueves,10
32,20/04/24,Sábado,6,Lotería Nacional,10
33,25/04/24,Jueves,3,Lotería del Jueves,10
34,27/04/24,Sábado,6,Lotería Nacional,10
35,02/05/24,Jueves,3,Lotería del Jueves,10
36,05/05/24,Domingo,15,Extraordinario Día de la Madre,10
37,09/05/24,Jueves,3,Lotería del Jueves,10
38,11/05/24,Sábado,6,Lotería Nacional,10
39,16/05/24,Jueves,3,Lotería del Jueves,10
40,18/05/24,Sábado,6,Lotería Nacional,10
41,23/05/24,Jueves,3,Lotería del Jueves,10
42,25/05/24,Sábado,6,Lotería Nacional,10
43,30/05/24,Jueves,3,Lotería del Jueves,10
44,01/06/24,Sábado,15,Extraordinario Cruz Roja,10
45,06/06/24,Jueves,3,Lotería del Jueves,10
46,08/06/24,Sábado,6,Lotería Nacional,10
47,13/06/24,Jueves,3,Lotería del Jueves,10
48,15/06/24,Sábado,6,Lotería Nacional,10
49,20/06/24,Jueves,3,Lotería del Jueves,10
50,22/06/24,Sábado,6,Lotería Nacional,10
51,27/06/24,Jueves,3,Lotería del Jueves,10
